"date","sex","fork_length","adipose_fin_clipped","carcass_condition","spawn_condition","count"
"2014-11-04","male",820,FALSE,"fresh",NA,1
"2013-10-29","male",900,TRUE,"fresh",NA,1
"2014-11-04","male",910,FALSE,"fresh",NA,2
"2011-11-17","female",605,FALSE,"non fresh","spawned",1
"2011-10-27","male",610,FALSE,"non fresh",NA,1
"2011-11-03","male",610,FALSE,"non fresh",NA,1
"2011-11-03","male",620,FALSE,"non fresh",NA,1
"2013-11-05","male",625,TRUE,"fresh",NA,1
"2014-10-28","male",655,TRUE,"non fresh",NA,1
"2011-11-03","male",670,FALSE,"non fresh",NA,1
"2013-10-08","male",742,FALSE,"non fresh",NA,1
"2014-11-19","male",755,FALSE,"fresh",NA,1
"2011-11-17","female",770,FALSE,"fresh","spawned",1
"2013-10-22","male",780,FALSE,"non fresh",NA,2
"2014-12-01","female",790,FALSE,"non fresh","spawned",1
"2013-10-08","male",790,FALSE,"fresh",NA,1
"2014-11-19","male",795,FALSE,"fresh",NA,1
"2013-11-13","female",805,FALSE,"non fresh","spawned",1
"2011-11-23","male",810,FALSE,"fresh",NA,1
"2013-10-22","male",820,FALSE,"non fresh",NA,1
"2013-10-29","male",820,FALSE,"non fresh",NA,1
"2014-11-04","female",825,FALSE,"non fresh","spawned",1
"2013-11-13","male",825,FALSE,"non fresh",NA,1
"2013-10-22","male",860,FALSE,"non fresh",NA,1
"2019-10-22","male",864,TRUE,"fresh",NA,1
"2016-11-01","male",865,FALSE,"fresh",NA,1
"2014-11-19","male",865,TRUE,"non fresh",NA,1
"2013-12-11","male",870,TRUE,"fresh",NA,1
"2020-11-23","male",905,FALSE,"fresh","unspawned",1
"2014-10-28","male",930,FALSE,"fresh",NA,1
"2013-11-19","male",940,FALSE,"non fresh",NA,1
"2014-11-24","male",940,FALSE,"non fresh",NA,1
"2014-11-04","male",950,FALSE,"non fresh",NA,1
"2014-11-19","female",960,FALSE,"non fresh","spawned",1
"2014-11-19","male",995,FALSE,"fresh",NA,1
"2014-11-24","male",1000,FALSE,"non fresh",NA,1
"2013-11-05","male",520,FALSE,"fresh",NA,1
"2011-10-27","male",550,FALSE,"non fresh",NA,1
"2014-11-19","male",550,FALSE,"fresh",NA,1
"2015-11-10","male",560,FALSE,"fresh",NA,1
"2019-11-13","male",565,FALSE,"fresh",NA,1
"2011-11-23","male",580,FALSE,"fresh",NA,1
"2011-12-08","male",590,FALSE,"fresh","spawned",1
"2014-11-19","male",600,FALSE,"fresh",NA,1
"2011-10-27","male",605,TRUE,"fresh",NA,1
"2013-11-05","male",630,FALSE,"non fresh",NA,1
"2014-10-28","male",630,FALSE,"fresh",NA,1
"2011-11-17","male",650,FALSE,"non fresh",NA,1
"2013-11-05","male",690,FALSE,"fresh",NA,1
"2016-11-01","male",690,FALSE,"fresh",NA,1
"2013-11-13","male",700,FALSE,"non fresh",NA,1
"2013-11-05","female",725,FALSE,"fresh","spawned",1
"2013-11-05","female",730,FALSE,"non fresh","spawned",1
"2013-11-13","male",730,FALSE,"non fresh",NA,1
"2013-10-22","male",735,TRUE,"fresh",NA,1
"2013-11-05","male",740,FALSE,"fresh",NA,1
"2013-11-13","female",740,TRUE,"non fresh","spawned",1
"2013-11-19","female",740,TRUE,"non fresh","spawned",1
"2015-12-08","female",740,TRUE,"non fresh","spawned",1
"2015-11-04","female",750,FALSE,"fresh","spawned",1
"2013-10-29","female",760,FALSE,"non fresh","spawned",1
"2013-11-05","female",760,FALSE,"fresh","spawned",1
"2013-11-05","female",760,FALSE,"non fresh","spawned",1
"2013-11-13","female",765,TRUE,"non fresh","spawned",1
"2013-11-19","female",770,FALSE,"fresh","spawned",1
"2013-11-19","female",770,TRUE,"non fresh","spawned",1
"2011-11-17","female",775,FALSE,"fresh","spawned",1
"2013-11-05","female",795,FALSE,"fresh","spawned",1
"2013-11-05","female",800,FALSE,"non fresh","spawned",2
"2013-11-13","female",800,FALSE,"non fresh","spawned",1
"2013-11-13","male",800,FALSE,"non fresh",NA,1
"2011-11-03","male",800,TRUE,"non fresh",NA,1
"2013-11-13","female",805,FALSE,"non fresh","spawned",1
"2013-10-22","male",805,FALSE,"fresh",NA,1
"2013-11-26","male",805,TRUE,"non fresh",NA,1
"2013-11-05","female",810,FALSE,"fresh","spawned",1
"2014-11-11","male",810,FALSE,"non fresh",NA,1
"2014-12-01","male",810,FALSE,"non fresh",NA,1
"2013-10-29","male",815,FALSE,"non fresh",NA,1
"2013-11-05","female",820,FALSE,"non fresh","spawned",1
"2013-11-19","female",820,FALSE,"fresh","spawned",3
"2011-10-27","male",820,FALSE,"non fresh",NA,1
"2013-11-05","male",820,FALSE,"non fresh",NA,2
"2013-11-05","male",820,TRUE,"non fresh",NA,1
"2011-10-20","male",830,FALSE,"non fresh",NA,1
"2013-11-19","male",830,FALSE,"fresh",NA,1
"2013-11-05","male",835,FALSE,"fresh",NA,1
"2013-11-05","female",840,FALSE,"fresh","spawned",1
"2013-11-13","female",840,FALSE,"non fresh","spawned",1
"2013-11-05","male",840,FALSE,"fresh",NA,1
"2013-11-19","male",840,FALSE,"non fresh",NA,1
"2014-11-19","female",840,TRUE,"fresh","spawned",1
"2016-09-28","male",845,TRUE,"fresh",NA,1
"2013-11-05","male",850,FALSE,"non fresh",NA,1
"2013-11-19","male",850,FALSE,"non fresh",NA,1
"2013-11-13","male",855,FALSE,"non fresh",NA,1
"2013-11-05","male",865,TRUE,"non fresh",NA,1
"2014-11-04","female",870,FALSE,"fresh","spawned",1
"2013-11-05","male",870,FALSE,"non fresh",NA,3
"2013-11-19","male",870,FALSE,"fresh",NA,1
"2013-11-19","male",870,FALSE,"non fresh",NA,1
"2014-12-01","male",870,FALSE,"non fresh",NA,1
"2013-11-13","male",875,FALSE,"fresh",NA,1
"2013-10-29","male",875,TRUE,"non fresh",NA,1
"2013-11-13","male",880,FALSE,"non fresh",NA,1
"2014-11-11","male",880,FALSE,"non fresh",NA,1
"2013-11-05","female",890,FALSE,"non fresh","spawned",1
"2014-11-19","female",890,FALSE,"fresh","spawned",1
"2014-12-01","female",890,FALSE,"non fresh","spawned",1
"2013-11-05","male",890,FALSE,"non fresh",NA,1
"2011-11-17","male",900,FALSE,"fresh",NA,1
"2013-11-05","male",900,FALSE,"non fresh",NA,1
"2013-11-13","male",900,FALSE,"fresh",NA,1
"2013-11-19","male",900,FALSE,"non fresh",NA,1
"2013-11-26","female",905,FALSE,"non fresh","spawned",1
"2014-11-19","female",905,FALSE,"non fresh","spawned",1
"2011-11-17","male",905,FALSE,"fresh",NA,1
"2013-10-29","male",905,FALSE,"non fresh",NA,1
"2013-11-05","male",910,FALSE,"non fresh",NA,1
"2013-11-13","male",910,FALSE,"non fresh",NA,1
"2013-11-05","male",910,TRUE,"non fresh",NA,1
"2014-11-24","male",920,FALSE,"non fresh",NA,1
"2014-10-28","male",925,FALSE,"fresh",NA,1
"2014-11-11","female",930,FALSE,"non fresh","unspawned",1
"2014-11-19","male",945,FALSE,"fresh",NA,1
"2014-11-11","female",970,FALSE,"non fresh","spawned",1
"2013-11-05","male",970,FALSE,"non fresh",NA,1
"2013-11-19","male",980,TRUE,"non fresh",NA,1
"2013-11-13","male",990,FALSE,"non fresh",NA,1
"2014-11-04","male",990,FALSE,"fresh",NA,1
"2015-12-16","female",520,TRUE,"fresh","spawned",1
"2015-11-19","female",525,FALSE,"fresh","spawned",1
"2014-12-01","male",570,FALSE,"fresh",NA,1
"2018-11-01","male",590,FALSE,"fresh",NA,1
"2014-12-08","female",610,FALSE,"non fresh","spawned",1
"2014-12-08","male",620,FALSE,"non fresh",NA,1
"2015-12-16","male",620,FALSE,"fresh",NA,1
"2015-11-10","female",625,FALSE,"fresh","spawned",1
"2014-11-11","male",630,FALSE,"fresh",NA,1
"2019-11-04","female",634,TRUE,"non fresh","spawned",1
"2015-11-19","female",635,FALSE,"non fresh","spawned",1
"2016-10-27","male",640,FALSE,"fresh",NA,1
"2011-11-10","male",650,FALSE,"non fresh",NA,1
"2011-11-10","male",650,TRUE,"non fresh",NA,1
"2013-11-13","male",665,FALSE,"fresh",NA,1
"2015-12-16","female",670,FALSE,"fresh","spawned",1
"2011-11-17","male",670,FALSE,"fresh",NA,1
"2011-11-10","male",675,FALSE,"fresh",NA,1
"2013-10-15","male",680,TRUE,"non fresh",NA,1
"2013-10-29","female",690,FALSE,"non fresh","unspawned",1
"2014-11-24","female",695,FALSE,"fresh","spawned",1
"2013-10-01","female",700,TRUE,"fresh","unspawned",1
"2011-11-10","male",705,FALSE,"non fresh",NA,1
